Entry Name,Image URL,Return Company Name,Funding Type,Announced Date,Money Raised,Money Raised Sanitised,Total Funding Raised,Total Funding Raised Sanitised,Lead Investor,Pre-Money Evaluation,investors,Number of Investors
Webflow,"=Image(""https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/nb3m4vdppw5kwqfnptk9"")", Webflow,Series B ,"Jan 13, 2021",$140M,,$214.9M,,"Accel, Silversmith Capital Partners",,,8
Webflow,"=Image(""https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/nb3m4vdppw5kwqfnptk9"")", Webflow,Series A ,"Aug 6, 2019",$72M,,$214.9M,,Accel,,,6
Webflow,"=Image(""https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/nb3m4vdppw5kwqfnptk9"")", Webflow,Seed Round ,"Mar 11, 2014",$2.9M,,$214.9M,,—,,,4
Webflow,"=Image(""https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/nb3m4vdppw5kwqfnptk9"")", Webflow,Seed Round ,"Aug 25, 2013",—,,$214.9M,,—,,,3
Smartsheet,"=Image(""https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/rzw9vcowqwe7wh6bbcir"")",IPO Equity ,Post,"Sep 29, 2020",$31M,,$152.2M,,—,,,—
Smartsheet,"=Image(""https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/rzw9vcowqwe7wh6bbcir"")", Smartsheet,Series F ,"May 31, 2017",$52.1M,,$152.2M,,Insight Partners,,,6
Smartsheet,"=Image(""https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/rzw9vcowqwe7wh6bbcir"")", Smartsheet,Series E ,"May 5, 2014",$35M,,$152.2M,,Sutter Hill Ventures,,,2
Smartsheet,"=Image(""https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/rzw9vcowqwe7wh6bbcir"")", Smartsheet,Series D ,"Dec 3, 2012",$26M,,$152.2M,,"Insight Partners, Madrona Venture Group",,,2
Smartsheet,"=Image(""https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/rzw9vcowqwe7wh6bbcir"")", Smartsheet,Series C ,"Sep 24, 2012",$2.5M,,$152.2M,,—,,,—
Smartsheet,"=Image(""https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/rzw9vcowqwe7wh6bbcir"")", Smartsheet,Series B ,"Jan 15, 2009",$1.3M,,$152.2M,,—,,,—
Smartsheet,"=Image(""https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/rzw9vcowqwe7wh6bbcir"")", Smartsheet,Series A ,"Jun 4, 2007",$4.4M,,$152.2M,,—,,,—
